Id,Name,Isin,AmfiCode,Rta,RtaCode,AmcCode,LastUpdatedBy,LastUpdatedOnUtc
1,Hdfc Arbitrage Fund - Retail Plan - Growth Option,INF179K01319,106796,CAMS,HAFRG,AFRG,Ranjith.Vijayabaskar,1/1/2007 10:00
2,Hdfc Arbitrage Fund - Retail Plan - Quarterly Idcw Payout Option,INF179K01327,106797,CAMS,HAFRDQ,AFRDQ,Ranjith.Vijayabaskar,1/1/2007 10:00
3,Hdfc Balanced Fund - Idcw Payout Option,INF179K01376,100121,CAMS,HBFD,BFD,Ranjith.Vijayabaskar,1/1/2007 10:00
4,Hdfc Balanced Fund - Growth Option,INF179K01392,100122,CAMS,HBFG,BFG,Ranjith.Vijayabaskar,1/1/2007 10:00
5,Hdfc Capital Builder Value Fund - Regular Plan - Idcw Payout,INF179K01400,101765,CAMS,H61,61,Ranjith.Vijayabaskar,1/1/2007 10:00
6,Hdfc Capital Builder Value Fund - Regular Plan - Growth,INF179K01426,101764,CAMS,H62,62,Ranjith.Vijayabaskar,1/1/2007 10:00
7,Hdfc Low Duration Fund - Retail - Regular Plan - Daily Idcw Reinvestment,INF179K01434,105548,CAMS,H59,59,Ranjith.Vijayabaskar,1/1/2007 10:00
8,Hdfc Low Duration Fund - Retail - Regular Plan - Growth,INF179K01442,102452,CAMS,H54,54,Ranjith.Vijayabaskar,1/1/2007 10:00
9,Hdfc Low Duration Fund - Retail - Regular Plan - Monthly Idcw Payout,INF179K01459,105543,CAMS,H60,60,Ranjith.Vijayabaskar,1/1/2007 10:00
10,Hdfc Low Duration Fund - Retail - Regular Plan - Weekly Idcw Payout,INF179K01475,102453,CAMS,H58,58,Ranjith.Vijayabaskar,1/1/2007 10:00
11,Hdfc Focused 30 Fund - Regular Plan - Idcw Payout,INF179K01558,102761,CAMS,HCORD,CORD,Ranjith.Vijayabaskar,1/1/2007 10:00
12,Hdfc Focused 30 Fund - Regular Plan - Growth,INF179K01574,102760,CAMS,HCORG,CORG,Ranjith.Vijayabaskar,1/1/2007 10:00
13,Hdfc Flexicap Fund - Idcw Payout Option,INF179K01582,101763,CAMS,H01,1,Ranjith.Vijayabaskar,1/1/2007 10:00
14,Hdfc Flexicap Fund - Growth Option,INF179K01608,101762,CAMS,H02,2,Ranjith.Vijayabaskar,1/1/2007 10:00
15,Tata Dividend Yield Fund - Growth,INF277K01345,102859,CAMS,TDYG,TDYFB,Ranjith.Vijayabaskar,1/1/2007 10:00
16,Tata Dynamic Bond Fund Regular Plan Growth,INF277K01360,101909,CAMS,TDAG,TDBFB,Ranjith.Vijayabaskar,1/1/2007 10:00
17,Tata Dynamic Bond Fund Option B - Growth,INF277K01386,101910,CAMS,TDBG,TDBFD,Ranjith.Vijayabaskar,1/1/2007 10:00
18,Hdfc Floating Rate Income Fund - Long Term Plan - Idcw Reinvestment Option,INF179K01616,101670,CAMS,HILD,ILD,Ranjith.Vijayabaskar,1/1/2007 10:00
19,Hdfc Floating Rate Income Fund - Long Term Plan - Growth Option,INF179K01624,101671,CAMS,HILG,ILG,Ranjith.Vijayabaskar,1/1/2007 10:00
20,Hdfc Floating Rate Debt Fund -Retail Option- Regular Plan - Growth,INF179K01632,101481,CAMS,HISG,ISG,Ranjith.Vijayabaskar,1/1/2007 10:00
21,Hdfc Floating Rate Debt Fund - Retail Option - Regular Plan - Idcw Reinvestment - Daily Reinvestment,INF179K01640,101483,CAMS,HISDD,ISDD,Ranjith.Vijayabaskar,1/1/2007 10:00
22,Hdfc Floating Rate Debt Fund - Retail Option-Regular Plan -Idcw Monthly Payout,INF179K01657,101484,CAMS,HISDM,ISDM,Ranjith.Vijayabaskar,1/1/2007 10:00
23,Hdfc Floating Rate Debt Fund - Retail Option-Regular Plan - Idcw Weekly Payout,INF179K01681,101482,CAMS,HISD,ISD,Ranjith.Vijayabaskar,1/1/2007 10:00
24,Hdfc Gilt Fund - Regular Plan- Growth,INF179K01756,101083,CAMS,HGLG,GLG,Ranjith.Vijayabaskar,1/1/2007 10:00
25,Hdfc Gilt Fund - Regular Plan - Idcw Payout,INF179K01772,101084,CAMS,HGLD,GLD,Ranjith.Vijayabaskar,1/1/2007 10:00
26,Hdfc Gilt Fund - Short Term Plan - Idcw Payout Option,INF179K01780,101081,CAMS,HGSD,GSD,Ranjith.Vijayabaskar,1/1/2007 10:00
27,Hdfc Gilt Fund - Short Term Plan - Growth Option,INF179K01806,101082,CAMS,HGSG,GSG,Ranjith.Vijayabaskar,1/1/2007 10:00
28,Hdfc Balance Advantage Fund - Regular Plan - Idcw Payout,INF179K01814,100120,CAMS,HGFD,GFD,Ranjith.Vijayabaskar,1/1/2007 10:00
29,Hdfc Balance Advantage Fund - Regular Plan - Growth,INF179K01830,100119,CAMS,HGFG,GFG,Ranjith.Vijayabaskar,1/1/2007 10:00
30,Hdfc Dynamic Debt Fund - Regular Plan- Growth,INF179K01848,101872,CAMS,H12,12,Ranjith.Vijayabaskar,1/1/2007 10:00
31,Hdfc Dynamic Debt Fund - Regular Plan - Half Yearly Idcw Payout,INF179K01855,101874,CAMS,H27,27,Ranjith.Vijayabaskar,1/1/2007 10:00
32,Tata Equity Management Fund-Idcw Reinvestment,INF277K01394,,CAMS,TEMD,TEMFA,Ranjith.Vijayabaskar,1/1/2007 10:00
33,Tata Equity Management Fund-Growth,INF277K01402,,CAMS,TEMG,TEMFB,Ranjith.Vijayabaskar,1/1/2007 10:00
34,Tata Equity P/E Fund Regular Plan Growth,INF277K01451,101672,CAMS,TEPEG,TEQPEFB,Ranjith.Vijayabaskar,1/1/2007 10:00
35,Hdfc Dynamic Debt Fund - Regular Plan - Quarterly Idcw Payout,INF179K01871,101873,CAMS,H11,11,Ranjith.Vijayabaskar,1/1/2007 10:00
36,Hdfc Medium Term Debt Fund - Fortnightly Idcw Payout,INF179K01897,101990,CAMS,H29,29,Ranjith.Vijayabaskar,1/1/2007 10:00
37,Hdfc Medium Term Debt Fund - Regular Plan - Growth,INF179K01913,101989,CAMS,H30,30,Ranjith.Vijayabaskar,1/1/2007 10:00
38,Hdfc Dynamic Debt Fund - Regular Plan - Yearly Idcw Payout,INF179K01921,101875,CAMS,H28,28,Ranjith.Vijayabaskar,1/1/2007 10:00
39,Hdfc Income Fund - Regular Plan - Quarterly Idcw Payout,INF179K01947,100123,CAMS,HIFD,IFD,Ranjith.Vijayabaskar,1/1/2007 10:00
40,Hdfc Income Fund - Growth Option,INF179K01962,100124,CAMS,HIFG,IFG,Ranjith.Vijayabaskar,1/1/2007 10:00
41,Hdfc Long Term Advantage Fund - Idcw Payout Option,INF179K01970,100997,CAMS,HTPD,TPD,Ranjith.Vijayabaskar,1/1/2007 10:00
42,Hdfc Long Term Advantage Fund - Growth Option,INF179K01996,100998,CAMS,HTPG,TPG,Ranjith.Vijayabaskar,1/1/2007 10:00
43,Hdfc Hybrid Debt Fund - Monthly Idcw Payout Option,INF179K01AA2,102148,CAMS,HMILTM,MILTM,Ranjith.Vijayabaskar,1/1/2007 10:00
44,Hdfc Hybrid Debt Fund - Quarterly Idcw Payout Option,INF179K01AC8,102149,CAMS,HMILTQ,MILTQ,Ranjith.Vijayabaskar,1/1/2007 10:00
45,Hdfc Hybrid Debt Fund - Growth Option,INF179K01AE4,102147,CAMS,HMILTG,MILTG,Ranjith.Vijayabaskar,1/1/2007 10:00
46,Hdfc Mf Monthly Income Plan - Short Term Plan - Growth Option,INF179K01AF1,102144,CAMS,HMISTG,MISTG,Ranjith.Vijayabaskar,1/1/2007 10:00
47,Hdfc Mf Monthly Income Plan - Short Term Plan - Monthly Idcw Payout Option,INF179K01AG9,102145,CAMS,HMISTM,MISTM,Ranjith.Vijayabaskar,1/1/2007 10:00
48,Hdfc Mf Monthly Income Plan - Short Term Plan - Quarterly Idcw Payout Option,INF179K01AI5,102146,CAMS,HMISTQ,MISTQ,Ranjith.Vijayabaskar,1/1/2007 10:00
49,Tata Treasury Advantage Fund Regular Plan - Daily Idcw Reinvestment,INF277K01LZ8,103160,CAMS,TFD1,TFFA,Ranjith.Vijayabaskar,1/1/2007 10:00
50,Tata Treasury Advantage Fund Regular Plan Growth,INF277K01MA9,103159,CAMS,TFG1,TFFC,Ranjith.Vijayabaskar,1/1/2007 10:00
51,Tata Treasury Advantage Fund Regular Plan - Weekly Idcw Reinvestment,INF277K01MB7,103158,CAMS,TFW1,TFFB,Ranjith.Vijayabaskar,1/1/2007 10:00
52,Hdfc Multiple Yield Fund - Idcw Payout Option,INF179K01AK1,101586,CAMS,HMULD,MULD,Ranjith.Vijayabaskar,1/1/2007 10:00
53,Hdfc Multiple Yield Fund - Growth Option,INF179K01AM7,101585,CAMS,HMULG,MULG,Ranjith.Vijayabaskar,1/1/2007 10:00
54,Hdfc Multi-Asset Fund - Regular Plan -Idcw Payout,INF179K01AN5,103130,CAMS,HMYD05,MYD05,Ranjith.Vijayabaskar,1/1/2007 10:00
55,Hdfc Multi-Asset Fund - Regular Plan - Growth,INF179K01AP0,103131,CAMS,HMYG05,MYG05,Ranjith.Vijayabaskar,1/1/2007 10:00
56,Hdfc Hybrid Equity Fund - Regular Plan - Idcw Payout,INF179K01AQ8,102947,CAMS,HPRED,PRED,Ranjith.Vijayabaskar,1/1/2007 10:00
57,Hdfc Hybrid Equity Fund - Regular Plan - Growth,INF179K01AS4,102948,CAMS,HPREG,PREG,Ranjith.Vijayabaskar,1/1/2007 10:00
58,Hdfc Prudence Fund - Idcw Payout Option,INF179K01AT2,101978,CAMS,H21,21,Ranjith.Vijayabaskar,1/1/2007 10:00
59,Hdfc Prudence Fund - Growth Option,INF179K01AV8,101977,CAMS,H22,22,Ranjith.Vijayabaskar,1/1/2007 10:00
60,Hdfc Regular Savings Fund - Monthly Idcw Payout Option,INF179K01AW6,101431,CAMS,HSTD,STD,Ranjith.Vijayabaskar,1/1/2007 10:00
61,Hdfc Regular Savings Fund - Growth Option,INF179K01AY2,101430,CAMS,HSTG,STG,Ranjith.Vijayabaskar,1/1/2007 10:00
62,Hdfc Tax Saver - Idcw Payout Option,INF179K01AZ9,101980,CAMS,H31,31,Ranjith.Vijayabaskar,1/1/2007 10:00
63,Hdfc Tax Saver - Growth Option,INF179K01BB8,101979,CAMS,H32,32,Ranjith.Vijayabaskar,1/1/2007 10:00
64,Hdfc Top 100 Fund - Regular Plan - Idcw Payout,INF179K01BC6,102001,CAMS,H41,41,Ranjith.Vijayabaskar,1/1/2007 10:00
65,Hdfc Top 100 Fund - Regular Plan - Growth,INF179K01BE2,102000,CAMS,H44,44,Ranjith.Vijayabaskar,1/1/2007 10:00
66,L&T India Value Fund - Idcw Reinvestent,INF677K01015,118103,CAMS,FFIVFD,FIVFD,Ranjith.Vijayabaskar,1/1/2007 10:00
67,L&T India Value Fund - Growth,INF677K01023,118102,CAMS,FFIVFG,FIVFG,Ranjith.Vijayabaskar,1/1/2007 10:00
68,Tata Floating Rate Fund Longterm - Growth,INF277K01501,,CAMS,TFRLG,TFRLTFB,Ranjith.Vijayabaskar,1/1/2007 10:00
69,Tata Gilt Securities Fund Regular Plan Growth,INF277K01519,101042,CAMS,TGFG,TGSFRB,Ranjith.Vijayabaskar,1/1/2007 10:00
70,Tata Gilt Securities Fund Regular Plan Bonus,INF277K01527,102263,CAMS,TGFB,TGSFRBB,Ranjith.Vijayabaskar,1/1/2007 10:00
71,Aditya Birla Sun Life Tax Relief 96-Idcw Payout,INF209K01090,103164,CAMS,B02,2,Ranjith.Vijayabaskar,1/1/2007 10:00
72,Aditya Birla Sun Life Tax Relief 96-Growth,INF209K01108,107745,CAMS,B02G,02G,Ranjith.Vijayabaskar,1/1/2007 10:00
73,Aditya Birla Sun Life Midcap Fund - Idcw Payout,INF209K01355,101591,CAMS,B251D,251D,Ranjith.Vijayabaskar,1/1/2007 10:00
74,Aditya Birla Sun Life Midcap Fund - Growth,INF209K01363,101592,CAMS,B251G,251G,Ranjith.Vijayabaskar,1/1/2007 10:00
75,Aditya Birla Sun Life Midcap Fund -Plan B- Dividend Payout,INF209K01371,,CAMS,B251HD,251HD,Ranjith.Vijayabaskar,1/1/2007 10:00
76,Aditya Birla Sun Life Midcap Fund -Plan B- Growth,INF209K01389,,CAMS,B251HG,251HG,Ranjith.Vijayabaskar,1/1/2007 10:00
77,Aditya Birla Sun Life Infrastructure Fund - Idcw Payout,INF209K01470,103475,CAMS,B293D,293D,Ranjith.Vijayabaskar,1/1/2007 10:00
78,Aditya Birla Sun Life Infrastructure Fund - Plan B - Growth,INF209K01488,,CAMS,B293E,293E,Ranjith.Vijayabaskar,1/1/2007 10:00
79,Aditya Birla Sun Life Infrastructure Fund - Plan B - Dividend Payout,INF209K01496,,CAMS,B293F,293F,Ranjith.Vijayabaskar,1/1/2007 10:00
80,Aditya Birla Sun Life Infrastructure Fund - Growth,INF209K01504,103476,CAMS,B293G,293G,Ranjith.Vijayabaskar,1/1/2007 10:00
81,Aditya Birla Sun Life Flexi Cap Fund - Growth,INF209K01AJ8,103166,CAMS,B51,51,Ranjith.Vijayabaskar,1/1/2007 10:00
82,Aditya Birla Sun Life Flexi Cap Fund - Idcw Payout,INF209K01AQ3,103165,CAMS,B52,52,Ranjith.Vijayabaskar,1/1/2007 10:00
83,Aditya Birla Sun Life Frontline Equity Fund -Idcw Payout,INF209K01BO6,103173,CAMS,B91,91,Ranjith.Vijayabaskar,1/1/2007 10:00
84,Aditya Birla Sun Life Frontline Equity Fund -Plan B- Dividend Payout,INF209K01BP3,,CAMS,B91D,91D,Ranjith.Vijayabaskar,1/1/2007 10:00
85,Tata Gilt Securities Fund Regular Plan - Idcw Reinvestment,INF277K01535,101049,CAMS,TGFD,TGSFRA,Ranjith.Vijayabaskar,1/1/2007 10:00
86,Tata Mid Cap Growth Fund Regular Plan Growth,INF277K01626,102328,CAMS,TGROG,TINRB,Ranjith.Vijayabaskar,1/1/2007 10:00
87,Tata Mid Cap Growth Fund - Bonus,INF277K01634,102329,CAMS,TGROB,TINRC,Ranjith.Vijayabaskar,1/1/2007 10:00
88,Tata Mid Cap Growth Fund Regular Plan - Idcw Reinvestment,INF277K01642,102326,CAMS,TGROD,TINRA,Ranjith.Vijayabaskar,1/1/2007 10:00
89,Aditya Birla Sun Life Frontline Equity Fund -Plan B- Growth,INF209K01BQ1,,CAMS,B91G,91G,Ranjith.Vijayabaskar,1/1/2007 10:00
90,Aditya Birla Sun Life Frontline Equity Fund - Growth,INF209K01BR9,103174,CAMS,B92,92,Ranjith.Vijayabaskar,1/1/2007 10:00
91,Icici Prudential Fmcg Fund - Growth,INF109K01415,100352,CAMS,P41,FMCG,Ranjith.Vijayabaskar,1/1/2007 10:00
93,Icici Prudential Large And Mid Cap Fund - Growth,INF109K01431,100349,CAMS,P11,GROWTH,Ranjith.Vijayabaskar,1/1/2007 10:00
94,Icici Prudential Large And Mid Cap Fund - Idcw Payout,INF109K01449,100348,CAMS,P12,GROWTH,Ranjith.Vijayabaskar,1/1/2007 10:00
95,Icici Prudential Long Term Equity Fund (Tax Saving) - Growth,INF109K01464,100354,CAMS,P01,TAX,Ranjith.Vijayabaskar,1/1/2007 10:00
96,Icici Prudential Long Term Equity Fund (Tax Saving) - Dividend Reinvestment,INF109K01472,100353,CAMS,P2,TAX,Ranjith.Vijayabaskar,1/1/2007 10:00
97,Icici Prudential Technology Fund - Growth,INF109K01506,100363,CAMS,P71,TECH,Ranjith.Vijayabaskar,1/1/2007 10:00
98,Icici Prudential Technology Fund - Idcw Payout,INF109K01514,115294,CAMS,P72,TECH,Ranjith.Vijayabaskar,1/1/2007 10:00
99,Icici Prudential Multicap Fund - Growth,INF109K01613,101228,CAMS,P121,POWER,Ranjith.Vijayabaskar,1/1/2007 10:00
100,Icici Prudential Multicap Fund - Idcw Reinvestment,INF109K01621,101706,CAMS,P122,POWER,Ranjith.Vijayabaskar,1/1/2007 10:00
101,Icici Prudential Multi-Asset Fund - Growth,INF109K01761,101144,CAMS,P15,DYNMIC,Ranjith.Vijayabaskar,1/1/2007 10:00
102,Icici Prudential Multi-Asset Fund - Idcw Payout,INF109K01779,101143,CAMS,P16,DYNMIC,Ranjith.Vijayabaskar,1/1/2007 10:00
103,Icici Prudential Value Discovery Fund - Idcw Payout,INF109K01AD3,102595,CAMS,PDFD,DISCO,Ranjith.Vijayabaskar,1/1/2007 10:00
104,Tata Income Fund Regular Plan Growth,INF277K01659,100418,CAMS,TIFG,TIFAA,Ranjith.Vijayabaskar,1/1/2007 10:00
105,Tata Contra Fund - Growth,INF277K01AN7,,CAMS,TCFGP,TCFB,Ranjith.Vijayabaskar,1/1/2007 10:00
106,Sbi Equity Hybrid Fund Regular Growth,INF200K01107,102885,CAMS,L24G,024G,Ranjith.Vijayabaskar,1/1/2007 10:00
108,Icici Prudential Value Discovery Fund - Growth,INF109K01AF8,102594,CAMS,PDFG,DISCO,Ranjith.Vijayabaskar,1/1/2007 10:00
109,Icici Prudential Midcap Fund - Idcw Payout,INF109K01AL6,102529,CAMS,PESD,ESTAR,Ranjith.Vijayabaskar,1/1/2007 10:00
110,Icici Prudential Midcap Fund - Growth,INF109K01AN2,102528,CAMS,PESG,ESTAR,Ranjith.Vijayabaskar,1/1/2007 10:00
111,Icici Prudential Infrastructure Fund - Idcw Payout,INF109K01AT9,103150,CAMS,PIFD,INFRA,Ranjith.Vijayabaskar,1/1/2007 10:00
112,Icici Prudential Infrastructure Fund - Growth,INF109K01AV5,103149,CAMS,PIFG,INFRA,Ranjith.Vijayabaskar,1/1/2007 10:00
113,Icici Prudential Exports And Services - Idcw Payout,INF109K01BA7,103313,CAMS,PSID,SERVE,Ranjith.Vijayabaskar,1/1/2007 10:00
114,Icici Prudential Exports And Services - Growth,INF109K01BB5,103312,CAMS,PSIG,SERVE,Ranjith.Vijayabaskar,1/1/2007 10:00
115,Icici Prudential Balanced Advantage Fund - Idcw Reinvestment,INF109K01BG4,104686,CAMS,PEDWRD,EQDWTO,Ranjith.Vijayabaskar,1/1/2007 10:00
116,Icici Prudential Balanced Advantage Fund - Growth,INF109K01BH2,104685,CAMS,PEDWRG,EQDWTO,Ranjith.Vijayabaskar,1/1/2007 10:00
117,Icici Prudential Smallcap Fund - Growth,INF109K01BI0,106823,CAMS,P1023,INASIA,Ranjith.Vijayabaskar,1/1/2007 10:00
118,Icici Prudential Smallcap Fund - Idcw Payout,INF109K01BJ8,106822,CAMS,P1024,INASIA,Ranjith.Vijayabaskar,1/1/2007 10:00
119,Icici Prudential Smallcap Fund - Institutional Growth,INF109K01BK6,106821,CAMS,P1025,INASIA,Ranjith.Vijayabaskar,1/1/2007 10:00
120,Icici Prudential Bluechip Fund - Growth,INF109K01BL4,108466,CAMS,P1191,FOCUS,Ranjith.Vijayabaskar,1/1/2007 10:00
121,Sbi Equity Hybrid Fund Regular Idcw Reinvestment,INF200K01123,101551,CAMS,L24,024D,Ranjith.Vijayabaskar,1/1/2007 10:00
122,Icici Prudential Bluechip Fund - Idcw Payout,INF109K01BM2,108465,CAMS,P1192,FOCUS,Ranjith.Vijayabaskar,1/1/2007 10:00
124,Icici Prudential Banking And Financial Services Fund - Growth,INF109K01BU5,109445,CAMS,P1233,BAFIN,Ranjith.Vijayabaskar,1/1/2007 10:00
126,Icici Prudential Focused Equity Fund - Growth,INF109K01BZ4,111957,CAMS,P1451,TARGET,Ranjith.Vijayabaskar,1/1/2007 10:00
129,Icici Prudential Savings Fund - Growth,INF109K01746,101619,CAMS,P1525,FLEXI,Ranjith.Vijayabaskar,1/1/2007 10:00
131,Icici Prudential Savings Fund - Retail Daily Idcw Reinvestment,INF109K01BW1,111795,CAMS,P1527,FLEXI,Ranjith.Vijayabaskar,1/1/2007 10:00
132,Icici Prudential Savings Fund - Retail Growth,INF109K01BX9,111794,CAMS,P1528,FLEXI,Ranjith.Vijayabaskar,1/1/2007 10:00
134,Tata Hybrid Equity Fund Regular Plan - Periodic Idcw Reinvestment,INF277K01295,101222,CAMS,TBFD,TEGFB,Ranjith.Vijayabaskar,1/1/2007 10:00
135,Tata Hybrid Equity Fund Regular Plan Growth,INF277K01303,100414,CAMS,TBFG,TEGFA,Ranjith.Vijayabaskar,1/1/2007 10:00
136,Tata Capital Builder Fund-Idcw Reinvestment,INF277K01311,,CAMS,TCBD,TCBFA,Ranjith.Vijayabaskar,1/1/2007 10:00
137,Tata Capital Builder Fund-Growth,INF277K01329,,CAMS,TCBG,TCBFB,Ranjith.Vijayabaskar,1/1/2007 10:00
138,Tata Dividend Yield Fund - Idcw Reinvestment,INF277K01337,102858,CAMS,TDYD,TDYFA,Ranjith.Vijayabaskar,1/1/2007 10:00
139,Tata Dynamic Bond Fund Regular Plan - Idcw Reinvestment,INF277K01352,101224,CAMS,TDAD,TDBFA,Ranjith.Vijayabaskar,1/1/2007 10:00
140,Tata Dynamic Bond Fund Option B - Bonus/Income Idcw Reinvestment,INF277K01378,102031,CAMS,TDBD,TDBFC,Ranjith.Vijayabaskar,1/1/2007 10:00
141,Tata Large And Mid Cap Fund Regular Plan - Idcw Reinvestment,INF277K01410,101823,CAMS,TEOD,TEOFA,Ranjith.Vijayabaskar,1/1/2007 10:00
142,Tata Large And Mid Cap Fund Regular Plan Growth,INF277K01428,101824,CAMS,TEOG,TEOFB,Ranjith.Vijayabaskar,1/1/2007 10:00
143,Tata Equity P/E Fund Regular Plan - Idcw Trigger A (5%) Reinvestment,INF277K01436,112218,CAMS,TEPE5,TEQPEFC,Ranjith.Vijayabaskar,1/1/2007 10:00
144,Tata Equity P/E Fund Regular Plan - Idcw Trigger B (10%) Reinvestment,INF277K01444,102428,CAMS,TEPED,TEQPEFA,Ranjith.Vijayabaskar,1/1/2007 10:00
145,Tata Floating Rate Fund Long Term - Bonus/Income Idcw Reinvestment,INF277K01493,102154,CAMS,TFRLB,TFRLTFA,Ranjith.Vijayabaskar,1/1/2007 10:00
146,Tata Gilt Securities High Investment Plan - Appreciation,INF277K01550,102016,CAMS,TGHG,TGSFRD,Ranjith.Vijayabaskar,1/1/2007 10:00
147,Tata Gilt Securities High Investment Plan - Regular Income Idcw Reinvestment,INF277K01543,101902,CAMS,TGHD,TGSFRC,Ranjith.Vijayabaskar,1/1/2007 10:00
148,Tata Gilt Securities Short Maturity Fund - Appreciation,INF277K01576,,CAMS,TGSG,TGSMFB,Ranjith.Vijayabaskar,1/1/2007 10:00
149,Tata Gilt Securities Short Maturity Fund - Regular Income Idcw Reinvestment,INF277K01568,,CAMS,TGSD,TGSMFA,Ranjith.Vijayabaskar,1/1/2007 10:00
150,Tata Growing Economies Infrastructure Fund Plan A Idcw Reinvestment,INF277K01584,,CAMS,TGEIAD,TGEIFAA,Ranjith.Vijayabaskar,1/1/2007 10:00
151,Tata Growing Economies Infrastructure Fund Plan A Growth,INF277K01592,,CAMS,TGEIAG,TGEIFAB,Ranjith.Vijayabaskar,1/1/2007 10:00
152,Tata Growing Economies Infrastructure Fund Plan B Idcw Reinvestment,INF277K01600,,CAMS,TGEIBD,TGEIFBA,Ranjith.Vijayabaskar,1/1/2007 10:00
153,Tata Growing Economies Infrastructure Fund Plan B Growth,INF277K01618,,CAMS,TGEIBG,TGEIFBB,Ranjith.Vijayabaskar,1/1/2007 10:00
154,Tata Income Fund Regular Plan - Half Yearly Idcw Reinvestment,INF277K01675,100417,CAMS,TIFH,TIFAC,Ranjith.Vijayabaskar,1/1/2007 10:00
155,Tata Income Fund Regular Plan - Periodic Idcw Reinvestment,INF277K01667,101186,CAMS,TIFD,TIFAB,Ranjith.Vijayabaskar,1/1/2007 10:00
156,Tata Long Term Debt Fund Regular Plan - Quarterly Idcw Reinvestment,INF277K01683,100416,CAMS,TIFQ,TIFAD,Ranjith.Vijayabaskar,1/1/2007 10:00
157,Tata Long Term Debt Fund Plan A - Appreciation Option -Bonus,INF277K01691,101419,CAMS,TIFB,TIFAE,Ranjith.Vijayabaskar,1/1/2007 10:00
158,Tata Medium Term Fund Regular Plan - Idcw Reinvestment,INF277K01709,101605,CAMS,TIAB,TIPFA,Ranjith.Vijayabaskar,1/1/2007 10:00
159,Tata Medium Term Fund Regular Plan Growth,INF277K01717,101703,CAMS,TIAG,TIPFB,Ranjith.Vijayabaskar,1/1/2007 10:00
160,Tata Medium Term Fund (Option B) - Bonus/Income Reinvestment,INF277K01725,,CAMS,TIBB,TIPFC,Ranjith.Vijayabaskar,1/1/2007 10:00
161,Tata Medium Term Fund (Option B) Growth,INF277K01733,101704,CAMS,TIBG,TIPFD,Ranjith.Vijayabaskar,1/1/2007 10:00
162,Tata Infrastructure Fund Regular Plan - Idcw Reinvestment,INF277K01774,101852,CAMS,TINFD,TISFA,Ranjith.Vijayabaskar,1/1/2007 10:00
163,Tata Infrastructure Fund Regular Plan Growth,INF277K01782,101766,CAMS,TINFG,TISFB,Ranjith.Vijayabaskar,1/1/2007 10:00
164,Tata Life Sciences And Technology Fund - Idcw Reinvestment,INF277K01816,,CAMS,TLSTD,TLSB,Ranjith.Vijayabaskar,1/1/2007 10:00
165,Tata Life Sciences And Technology Fund - Growth,INF277K01824,,CAMS,TLST,TLSA,Ranjith.Vijayabaskar,1/1/2007 10:00
166,Tata Mid Cap Fund - Idcw Reinvestment,INF277K01832,,CAMS,TMCD,TMCFA,Ranjith.Vijayabaskar,1/1/2007 10:00
167,Tata Mid Cap Fund - Growth,INF277K01840,,CAMS,TMCG,TMCFB,Ranjith.Vijayabaskar,1/1/2007 10:00
168,Tata Mip Plus - Growth,INF277K01857,,CAMS,TMPG,TMPFD,Ranjith.Vijayabaskar,1/1/2007 10:00
169,Tata Mip Plus Dividend - Half Yearly Idcw Reinvestment,INF277K01865,,CAMS,TMHD,TMPFC,Ranjith.Vijayabaskar,1/1/2007 10:00
170,Tata Mip Plus Dividend - Monthly Idcw Reinvestment,INF277K01873,,CAMS,TMMD,TMPFA,Ranjith.Vijayabaskar,1/1/2007 10:00
171,Tata Mip Plus Dividend - Quarterly Idcw Reinvestment,INF277K01881,,CAMS,TMQD,TMPFB,Ranjith.Vijayabaskar,1/1/2007 10:00
172,Tata Equity Savings Fund Regular Plan - Monthly Idcw Reinvestment,INF277K01899,101609,CAMS,TIFM,TMIFA,Ranjith.Vijayabaskar,1/1/2007 10:00
173,Tata Equity Savings Fund Regular Plan Growth,INF277K01907,101906,CAMS,TIFMG,TMIFB,Ranjith.Vijayabaskar,1/1/2007 10:00
174,Tata Large Cap Fund Regular Idcw Reinvestment,INF277K01923,102036,CAMS,TPEFD,TTOFEB,Ranjith.Vijayabaskar,1/1/2007 10:00
175,Tata Equity Savings Fund Regular Plan - Periodic Idcw Reinvestment,INF277K01915,102118,CAMS,TIFMQ,TMIFC,Ranjith.Vijayabaskar,1/1/2007 10:00
176,Tata Large Cap Fund Regular Growth,INF277K01931,100475,CAMS,TPEF,TTOFEA,Ranjith.Vijayabaskar,1/1/2007 10:00
177,Tata Ethical Fund Regular Plan - Idcw Reinvestment,INF277K01949,101833,CAMS,TSSFD,TCSB,Ranjith.Vijayabaskar,1/1/2007 10:00
178,Tata Ethical Fund Regular Plan Growth,INF277K01956,100415,CAMS,TSSF,TCSA,Ranjith.Vijayabaskar,1/1/2007 10:00
179,Tata Short Term Bond Fund Regular Plan Growth,INF277K01972,101548,CAMS,TSTG,TSTBFB,Ranjith.Vijayabaskar,1/1/2007 10:00
180,Tata Short Term Bond Fund Regular Plan - Monthly Idcw Reinvestment,INF277K01964,101547,CAMS,TSTD,TSTBFA,Ranjith.Vijayabaskar,1/1/2007 10:00
181,Tata Tax Saving Fund,INF277K01980,,CAMS,TTSF,TSF,Ranjith.Vijayabaskar,1/1/2007 10:00
182,Tata Corporate Bond Fund Regular Plan - Growth,INF277K01998,106129,CAMS,TTMHG,TTMFF,Ranjith.Vijayabaskar,1/1/2007 10:00
