Id,Name,Isin,AmfiCode,Rta,RtaCode,AmcCode,LastUpdatedBy,LastUpdatedOnUtc
11798,Canara Robeco Infrastructure Regular - Idcw Reinvestment,INF760K01266,103389,KARVY,101INDP,INDP,Ranjith.Vijayabaskar,1/1/2007 10:00
11800,Canara Robeco Infrastructure Regular -Growth,INF760K01274,103390,KARVY,101INGP,INGP,Ranjith.Vijayabaskar,1/1/2007 10:00
11802,Canara Robeco Bluechip Equity Fund Regular - Idcw Payout,INF760K01AS1,113222,KARVY,101LCDP,LCDP,Ranjith.Vijayabaskar,1/1/2007 10:00
11804,Canara Robeco Bluechip Equity Fund Regular - Idcw Reinvestment,INF760K01AT9,113222,KARVY,101LCDP,LCDP,Ranjith.Vijayabaskar,1/1/2007 10:00
11806,Canara Robeco Bluechip Equity Fund Regulargrowth,INF760K01AR3,113221,KARVY,101LCGP,LCGP,Ranjith.Vijayabaskar,1/1/2007 10:00
11808,Canara Robeco Conservative Hybrid Fund Regular Monthly - Idcw Payout,INF760K01308,100600,KARVY,101MIDP,MIDP,Ranjith.Vijayabaskar,1/1/2007 10:00
11810,Canara Robeco Conservative Hybrid Fund Regular Monthly - Idcw Reinvestment,INF760K01316,100600,KARVY,101MIDP,MIDP,Ranjith.Vijayabaskar,1/1/2007 10:00
11812,Canara Robeco Conservative Hybrid Fund Regular Growth,INF760K01282,100601,KARVY,101MIGP,MIGP,Ranjith.Vijayabaskar,1/1/2007 10:00
11814,Canara Robeco Conservative Hybrid Fund Regular Quarterly - Idcw Payout,INF760K01AP7,112378,KARVY,101MIQP,MIQP,Ranjith.Vijayabaskar,1/1/2007 10:00
11816,Canara Robeco Conservative Hybrid Fund Regular Quarterly - Idcw Reinvestment,INF760K01AQ5,112378,KARVY,101MIQP,MIQP,Ranjith.Vijayabaskar,1/1/2007 10:00
11818,Icici Prudential Fmp Series 76 - 1100 Days Plan A Regular Plan Cumulative,INF109KA14K1,,CAMS,P2572,F761100A,Ranjith.Vijayabaskar,1/1/2007 10:00
11819,Icici Prudential Fmp Series 76 - 1100 Days Plan A Regular Plan Dividend Payout,INF109KA15K8,,CAMS,P2573,F761100A,Ranjith.Vijayabaskar,1/1/2007 10:00
11820,Icici Prudential Fmcg Fund - Idcw Reinvestment,INF109K01423,100351,CAMS,P42,FMCG,Ranjith.Vijayabaskar,1/1/2007 10:00
11822,Aditya Birla Sun Life Fixed Term Plan Series Me (1099 Days)-Regular Plan-Growth,INF209KA1UP7,,CAMS,B1270B,1270B,Ranjith.Vijayabaskar,1/1/2007 10:00
11823,Aditya Birla Sun Life Fixed Term Plan Series Me (1099 Days)-Regular Plan-Normal Dividend Payout,INF209KA1UQ5,,CAMS,B1270A,1270A,Ranjith.Vijayabaskar,1/1/2007 10:00
11824,Aditya Birla Sun Life Fixed Term Plan Series Me (1099 Days)-Regular Plan-Quarterly Dividend Payout,INF209KA1UR3,,CAMS,B1270C,1270C,Ranjith.Vijayabaskar,1/1/2007 10:00
11825,Hdfc Fmp 1111D November 2014 (1) - Regular Option - Growth Option,INF179KA1K18,133194,CAMS,HFNFGR,FNFGR,Ranjith.Vijayabaskar,1/1/2007 10:00
11826,Hdfc Fmp 1111D November 2014 (1) - Regular Option - Normal Idcw Payout Option,INF179KA1K26,133190,CAMS,HFNFDR,FNFDR,Ranjith.Vijayabaskar,1/1/2007 10:00
11827,Hdfc Fmp 1111D November 2014 (1) - Regular Option - Quarterly Idcw Payout Option,INF179KA1K34,133192,CAMS,HFNFQR,FNFQR,Ranjith.Vijayabaskar,1/1/2007 10:00
11828,Hdfc Fmp 1111D November 2014 (1) - Regular Option - Flexi Option-Idcw Payout,INF179KA1K42,133191,CAMS,HFNFFR,FNFFR,Ranjith.Vijayabaskar,1/1/2007 10:00
11829,Lic Mf Fmp Series 91-Dividend-Idcw Payout,INF767K01MN2,,KARVY,102N1DP,LIC166,Ranjith.Vijayabaskar,1/1/2007 10:00
11830,Lic Mf Fmp Series 91-Growth-Growth,INF767K01MO0,,KARVY,102N1GP,LIC166,Ranjith.Vijayabaskar,1/1/2007 10:00
11831,Lic Mf Fmp Series 92-Dividend-Idcw Payout,INF767K01MR3,133226,KARVY,102N2DP,LIC167,Ranjith.Vijayabaskar,1/1/2007 10:00
11832,Lic Mf Fmp Series 92-Growth-Growth,INF767K01MS1,133227,KARVY,102N2GP,LIC167,Ranjith.Vijayabaskar,1/1/2007 10:00
11833,Icici Prudential Focused Equity Fund - Idcw Payout,INF109K01CA5,111958,CAMS,P1452,TARGET,Ranjith.Vijayabaskar,1/1/2007 10:00
11835,Icici Prudential Focused Equity Fund - Idcw Reinvestment,INF109K01CA5,111958,CAMS,P1452,TARGET,Ranjith.Vijayabaskar,1/1/2007 10:00
11837,Icici Prudential Multiple Yield Fund Series 8 - 1822 Days Plan D Cumulative,INF109KA18J4,133112,CAMS,P2569,MULTIPLE8D,Ranjith.Vijayabaskar,1/1/2007 10:00
11838,Icici Prudential Multiple Yield Fund Series 8 - 1822 Days Plan D Dividend Payout,INF109KA19J2,133113,CAMS,P2570,MULTIPLE8D,Ranjith.Vijayabaskar,1/1/2007 10:00
11839,Axis Fixed Term Plan Series 73 (1098 Days)Idcw Payout,INF846K01QT2,,KARVY,128WADP,WADPD,Ranjith.Vijayabaskar,1/1/2007 10:00
11840,Axis Fixed Term Plan Series 73 (1098 Days)Growthgrowth,INF846K01QS4,,KARVY,128WAGP,WAGPG,Ranjith.Vijayabaskar,1/1/2007 10:00
11841,Axis Fixed Term Plan Series 73 (1098 Days)Half Yearly Idcw Payout,INF846K01QU0,,KARVY,128WAHD,WAHDD,Ranjith.Vijayabaskar,1/1/2007 10:00
11844,Aditya Birla Sun Life Fixed Term Plan Series Mf (1099 Days)-Regular Plan-Growth,INF209KA1VB5,,CAMS,B1271B,1271B,Ranjith.Vijayabaskar,1/1/2007 10:00
11845,Aditya Birla Sun Life Fixed Term Plan Series Mf (1099 Days)-Regular Plan-Normal Dividend Payout,INF209KA1VC3,,CAMS,B1271A,1271A,Ranjith.Vijayabaskar,1/1/2007 10:00
11846,Aditya Birla Sun Life Fixed Term Plan Series Mf (1099 Days)-Regular Plan-Quarterly Dividend Payout,INF209KA1VD1,,CAMS,B1271C,1271C,Ranjith.Vijayabaskar,1/1/2007 10:00
11847,Sundaram World Brand Fund Series Iii Regular Plan Growth,INF903J01Z49,133240,KARVY,SWB3RG,WB3RG,Ranjith.Vijayabaskar,1/1/2007 10:00
11848,Sundaram World Brand Fund Series Iii Regular Plan Idcw Payout,INF903J01Z56,133243,KARVY,SWB3RD,WB3RD,Ranjith.Vijayabaskar,1/1/2007 10:00
11849,Icici Prudential Growth Fund Series 5 Dividend Payout,INF109KA12K5,133129,CAMS,P2571,GROWTH5,Ranjith.Vijayabaskar,1/1/2007 10:00
11850,Icici Prudential Medium Term Bond Fund - Annual Idcw Reinvestment,INF109KA13G1,132981,CAMS,P2551,LNGFLT,Ranjith.Vijayabaskar,1/1/2007 10:00
11854,Icici Prudential Medium Term Bond Fund - Direct Plan - Annual Idcw Reinvestment,INF109KA11G5,132982,CAMS,P8753,LNGFLT,Ranjith.Vijayabaskar,1/1/2007 10:00
11861,Nippon India Fixed Horizon Fund - Xxvii - Series - 15- Growth Option,INF204KA1YQ2,133199,KARVY,RMFZOGP,ZOGP,Ranjith.Vijayabaskar,1/1/2007 10:00
11862,Nippon India Fixed Horizon Fund - Xxvii - Series - 15 - Idcw Payout Option,INF204KA1YR0,133201,KARVY,RMFZODP,ZODP,Ranjith.Vijayabaskar,1/1/2007 10:00
11863,Icici Prudential Fmp Series 76 - 1100 Days Plan B Regular Plan Cumulative,INF109KA10M5,,CAMS,P2576,F761100B,Ranjith.Vijayabaskar,1/1/2007 10:00
11864,Icici Prudential Fmp Series 76 - 1100 Days Plan B Regular Plan Dividend Payout,INF109KA11M3,,CAMS,P2577,F761100B,Ranjith.Vijayabaskar,1/1/2007 10:00
11865,Icici Prudential Multiple Yield Fund Series 8 - 1101 Days Plan E Cumulative,INF109KA16L4,133172,CAMS,P2574,MULTIPLE8E,Ranjith.Vijayabaskar,1/1/2007 10:00
11866,Icici Prudential Multiple Yield Fund Series 8 - 1101 Days Plan E Dividend Payout,INF109KA17L2,133173,CAMS,P2575,MULTIPLE8E,Ranjith.Vijayabaskar,1/1/2007 10:00
11867,Hdfc Cpo - Iii - 1207D December 2014 - Regular Option- Growth Option,INF179KA1L82,133255,CAMS,HCP9GR,CP9GR,Ranjith.Vijayabaskar,1/1/2007 10:00
11868,Hdfc Cpo - Iii - 1207D December 2014 - Regular Option- Idcw Payout Option,INF179KA1L90,133254,CAMS,HCP9DR,CP9DR,Ranjith.Vijayabaskar,1/1/2007 10:00
11872,Franklin India Multi - Asset Solution Fund - Direct Idcw Payout,INF090I01LI5,132990,FRANKLIN,FIMASDPD,616,Ranjith.Vijayabaskar,1/1/2007 10:00
11873,Franklin India Multi - Asset Solution Fund - Direct Idcw Reinvestment,INF090I01LJ3,132990,FRANKLIN,FIMASDPD,616,Ranjith.Vijayabaskar,1/1/2007 10:00
11874,Franklin India Multi - Asset Solution Fund - Direct Growth,INF090I01LH7,132989,FRANKLIN,FIMASGPD,617,Ranjith.Vijayabaskar,1/1/2007 10:00
11877,Dsp Ftp - Series 45 - 36M - Regular Plan - Growth,INF740K016K7,,CAMS,D1632,1632,Ranjith.Vijayabaskar,1/1/2007 10:00
11878,Dsp Ftp - Series 45 - 36M - Regular Plan - Dividend Payout,INF740K017K5,,CAMS,D1633,1633,Ranjith.Vijayabaskar,1/1/2007 10:00
11891,Icici Prudential Equity Savings Fund Direct Plan Cumulative,INF109KA11J9,133054,CAMS,P8758,EQTYINC,Ranjith.Vijayabaskar,1/1/2007 10:00
11892,Icici Prudential Equity Savings Fund Direct Plan Monthly Idcw Reinvestment,INF109KA15J0,133049,CAMS,P8759,EQTYINC,Ranjith.Vijayabaskar,1/1/2007 10:00
11893,Icici Prudential Equity Savings Fund Direct Plan Quarterly Idcw Reinvestment,INF109KA16J8,133052,CAMS,P8760,EQTYINC,Ranjith.Vijayabaskar,1/1/2007 10:00
11894,Icici Prudential Equity Savings Fund Direct Plan Half Yearly Idcw Reinvestment,INF109KA17J6,133056,CAMS,P8761,EQTYINC,Ranjith.Vijayabaskar,1/1/2007 10:00
11898,Sbi Dual Advantage Fund Series Vi Regular Plan Idcw Payout,INF200KA1168,133284,CAMS,L460DP,460D,Ranjith.Vijayabaskar,1/1/2007 10:00
11899,Sbi Dual Advantage Fund Series Vi Regular Plan Growth,INF200KA1150,133281,CAMS,L460G,460G,Ranjith.Vijayabaskar,1/1/2007 10:00
11902,Hdfc Fmp 1101D December 2014 (1) - Regular Option - Growth Option,INF179KA1M40,,CAMS,HFNGGR,FNGGR,Ranjith.Vijayabaskar,1/1/2007 10:00
11903,Hdfc Fmp 1101D December 2014 (1) - Regular Option - Normal Idcw Payout Option,INF179KA1M57,,CAMS,HFNGDR,FNGDR,Ranjith.Vijayabaskar,1/1/2007 10:00
11904,Hdfc Fmp 1101D December 2014 (1) - Regular Option - Quarterly Idcw Payout Option,INF179KA1M65,,CAMS,HFNGQR,FNGQR,Ranjith.Vijayabaskar,1/1/2007 10:00
11905,Hdfc Fmp 1101D December 2014 (1) - Regular Option - Flexi Option-Idcw Payout,INF179KA1M73,,CAMS,HFNGFR,FNGFR,Ranjith.Vijayabaskar,1/1/2007 10:00
11906,Icici Prudential Fmp Series 76 - 1100 Days Plan C Regular Plan Cumulative,INF109KA14M7,,CAMS,P2578,F761100C,Ranjith.Vijayabaskar,1/1/2007 10:00
11907,Icici Prudential Fmp Series 76 - 1100 Days Plan C Regular Plan Dividend Payout,INF109KA15M4,,CAMS,P2579,F761100C,Ranjith.Vijayabaskar,1/1/2007 10:00
11908,Icici Prudential Capital Protection Oriented Fund Seriesvii 1284 Days Plan C- Cumulative,INF109KA18M8,133218,CAMS,P2580,CAPITA7C,Ranjith.Vijayabaskar,1/1/2007 10:00
11909,Icici Prudential Capital Protection Oriented Fund Seriesvii 1284 Days Plan C- Dividend Payout,INF109KA19M6,133219,CAMS,P2581,CAPITA7C,Ranjith.Vijayabaskar,1/1/2007 10:00
11910,Icici Prudential Fmp Series 76 - 1100 Days Plan D Cumulative,INF109KA12N9,133246,CAMS,P2582,F761100D,Ranjith.Vijayabaskar,1/1/2007 10:00
11911,Icici Prudential Fmp Series 76 - 1100 Days Plan D Dividend Payout,INF109KA13N7,133247,CAMS,P2583,F761100D,Ranjith.Vijayabaskar,1/1/2007 10:00
11912,Aditya Birla Sun Life Emerging Leaders Fund- Series 5-Regular Plan-Growth,INF209KA1WF4,133300,CAMS,B210B,210B,Ranjith.Vijayabaskar,1/1/2007 10:00
11913,Aditya Birla Sun Life Emerging Leaders Fund- Series 5-Regular Plan-Dividend Payout,INF209KA1WG2,133299,CAMS,B210A,210A,Ranjith.Vijayabaskar,1/1/2007 10:00
11914,Jm Floater Short Term Fund Half Yearly Bonus Option Principal Units,INF192K01IV4,133393,KARVY,105FFS1,554,Ranjith.Vijayabaskar,1/1/2007 10:00
